symbol,name,bucket,ann,vol,sharpe,mdd,sub_ann,sub_sharpe,win,corr_gold,corr_bond
016415,万家鑫耀纯债C,其他,0.006944832106874799,0.02568596889259844,-0.48132856277020464,-0.03843219530802977,-0.011549635672161607,-1.2116537382216106,0.6808510638297872,,
015810,国泰海通君添利中短债发起C,短债/利率,0.006017448087022759,0.029264294424056446,-0.4480269298290868,-0.0733143225094286,-0.03417853645823643,-1.2196727050228642,0.78,,
020448,鹏华双季红180天持有期债券C,其他,0.030105916814239908,0.008462742235704672,1.5353237651303,-0.005402331532555982,0.01389556114648971,-1.223612285964537,0.7333333333333333,,
008994,汇添富多策略纯债C,其他,0.021745212612506615,0.009182796135614303,0.25714202489336013,-0.017942696101455935,0.007778629870552001,-1.226810356453286,0.7833333333333333,,
021054,永赢众利债券C,其他,0.004232318573178295,0.031234112703932962,-0.48502002792680105,-0.043094758064516014,-0.02116144994199254,-1.2306727664979178,0.6071428571428571,,
519777,交银裕盈纯债债券C,其他,-0.02814136321778138,0.04572376949638572,-1.0615893022703173,-0.1745286902115749,-0.01247488834232302,-1.2310641614002418,0.6166666666666667,,
013828,华泰柏瑞鸿益30天滚动持有短债C,短债/利率,0.022348796274664018,0.0033090960398948354,0.9346941323509484,-0.002823058009288837,0.014771362167802948,-1.2310648026014592,0.9433962264150944,,
008687,大成景优中短债C,短债/利率,0.015328863247351165,0.04213962928470753,-0.07926755245428325,-0.06631465902989087,0.0033854663227859128,-1.2352300413226318,0.7166666666666667,,
000320,宏利淘利债券C,其他,-0.01707238057182381,0.040999806078997905,-0.902458760765228,-0.1653318531440806,0.0035752850144532555,-1.2367816404701455,0.6833333333333333,,
009036,浦银中债1-3年国开债指数C,短债/利率,0.007919732236228993,0.020354097924967562,-0.5701973442294871,-0.02904996214988642,0.013240209730735364,-1.2369398426058655,0.7666666666666667,,
013170,建信彭博1-5年政金债C,其他,0.005099751162756405,0.0239357191185793,-0.6004518707145236,-0.05925995492111191,-0.00306135913089145,-1.237505904079053,0.7192982456140351,,
003838,东方臻享纯债债券C,其他,-0.006689940991583376,0.027476113011073416,-0.9675013931467639,-0.05253859029198438,-0.0028829164853144684,-1.2381642491516676,0.6166666666666667,,
012824,富国安利90天滚动持有债券C,其他,0.02627912269634769,0.0038672912338141275,2.064692463151232,-0.005795981452859311,0.01644480904043122,-1.2387328872925216,0.9473684210526315,,
016597,民生加银月月乐30天持有短债C,短债/利率,0.0218920722800926,0.0038187385104416385,0.7249398800770886,-0.005796826000190047,0.016135008877963486,-1.2418085758489623,0.8723404255319149,,
021066,泰康中债0-3年政策性金融债指数C,金融地产,0.020827578142637027,0.006597448076466289,0.20171561291664705,-0.006613499319198524,0.012381576220846569,-1.2426673792571243,0.8214285714285714,,
009397,大成安诚债券C,其他,0.002848042118008154,0.02938541700839569,-0.5654209028307634,-0.044388138138138244,-0.012908116199022546,-1.2442379863224786,0.65,,
007027,建信中债1-3年国开债C,短债/利率,-0.001680124211140721,0.025487921520806745,-0.8401760182097324,-0.0415460741293997,-0.02078343018894624,-1.245751364980823,0.7166666666666667,,
000745,华银稳定收益C,其他,0.03078308752350778,0.029129824214920826,0.4078666701048034,-0.05423728813559303,-0.0014236544117471883,-1.246247244284018,0.7,,
018859,惠升和安纯债C,其他,0.017535488170803415,0.01449171623281646,-0.1274547763925709,-0.02763890199037833,0.0013811218378476653,-1.2471565636184176,0.6388888888888888,,
